reflection_limit;gradient_force_y;gradient_force_z;scattering_force_x
0;-57.391698014550535;-115.07823240978077;148.69738895156874
1;-43.891557721591404;-88.31036740809729;152.29513789634845
2;-42.619505242751615;-85.81150733226004;148.93602141859597
3;-43.891557721591404;-88.31036740809729;152.29513789634845
4;-43.04512124579036;-86.60812481878864;149.08517413152504
5;-43.891557721591404;-88.31036740809729;152.29513789634845
6;-43.02760264205179;-86.57489138113633;148.97133184591678
7;-43.025717545434226;-86.57275523771396;148.9993819922164
8;-43.018908787093324;-86.5634854594825;148.9915479492584
9;-43.0227864104731;-86.56834049755209;148.98727163640163
10;-43.0230841170367;-86.56879338635892;148.9920856768006